Domain,Core Field,Job Role,Aptitude (LRDI),Aptitude (QA),Aptitude (VARC),EQ,Personality,Skills
Finance and Accounting,Financial Analysis:,Risk Analyst,11,11,7,8,INTJ,"Risk Management, Data Analysis, Financial Analysis, Reporting"
Finance and Accounting,Financial Analysis:,Sustainable Finance Analyst,11,11,7,8,INTJ,"Financial analysis, sustainability knowledge, analytical skills, communication, ESG reporting"
Finance and Accounting,Accounting:,Accountant,11,11,7,8,ISTJ,"Accounting, attention to detail, analytical skills, Excel proficiency, communication"
Finance and Accounting,Accounting:,Accounting Clerk,11,11,7,3,ISFJ,"Data entry, attention to detail, organizational skills, basic accounting, communication"
Finance and Accounting,Accounting:,Accounts Officer,11,11,7,4,ESTJ,"Accounting principles knowledge, ledger maintenance, accounts payable/receivable management, Tally proficiency. Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Accounting:,Bookkeeper,11,11,7,3,ISTJ,"Bookkeeping, attention to detail, organizational skills, basic accounting, communication"
Finance and Accounting,Accounting:,Financial Controller,11,11,7,8,ISTJ,"Financial management, accounting, leadership, analytical skills, regulatory knowledge"
Finance and Accounting,Accounting:,Tax Consultant,11,11,7,8,ISTJ,"Taxation Knowledge, Tax Planning, Tax Compliance, Tax Advisory, Research Skills, Analytical Skills, 
Communication Skills, Client Management, Problem-solving, Ethical Conduct"
Finance and Accounting,Accounting:,Tax Consultant,11,11,7,8,ISTJ,"Tax planning, knowledge of tax regulations, analytical skills, communication, attention to detail"
Finance and Accounting,Banking and Finance:,Account Manager,11,9,7,11,ESFJ,"Account Management, Customer Service, Sales Strategy, Communication"
Finance and Accounting,Banking and Finance:,Audit Associate,11,9,7,7,ISTJ,"Auditing, attention to detail, analytical skills, communication, regulatory knowledge"
Finance and Accounting,Banking and Finance:,Audit Manager,11,9,7,12,ENTJ,"Auditing, analytical skills, attention to detail, communication, leadership"
Finance and Accounting,Banking and Finance:,Banking Associate,11,9,7,6,ESFJ,"Banking Operations, Customer Service, Financial Products, Regulatory Compliance"
Finance and Accounting,Banking and Finance:,Claims Adjuster,11,9,7,3,ISTJ,"Claims Processing, Customer Service, Data Analysis, Communication"
Finance and Accounting,Banking and Finance:,Claims Analyst,11,9,7,3,ISTJ,"Claims Processing, Data Analysis, Reporting, Communication"
Finance and Accounting,Banking and Finance:,Compliance Analyst,11,9,7,3,ISTJ,"Regulatory Compliance, Data Analysis, Reporting, Risk Management"
Finance and Accounting,Banking and Finance:,Corporate Finance Manager,11,9,7,8,ENTJ,"Financial planning and analysis (FP&A), capital budgeting, risk management, strategic financial decision-making, leadership, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability and Teamwork"
Finance and Accounting,Banking and Finance:,Corporate Treasurer,11,9,7,8,ISTJ,"Cash management, financial planning, investment strategies, risk management, leadership"
Finance and Accounting,Banking and Finance:,Credit Analyst,11,9,7,7,ISTJ,"Risk assessment, credit analysis, market risk management, regulatory compliance, financial derivatives knowledge, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Credit Analyst,11,9,7,7,ISTJ,"Credit Analysis, Financial Statement Analysis, Risk Assessment, Reporting"
Finance and Accounting,Banking and Finance:,Financial Advisor,11,9,7,10,ENFJ,"Financial Planning, Investment Strategies, Client Relationship Management"
Finance and Accounting,Banking and Finance:,Financial Assistant,11,9,7,6,ISFP,"Administrative skills, communication, basic accounting, organizational skills, data entry"
Finance and Accounting,Banking and Finance:,Financial Consultant,11,9,7,12,ENTP,"Financial planning, analytical skills, communication, problem-solving, client management"
Finance and Accounting,Banking and Finance:,Financial Manager,11,9,7,12,ENTJ,
Finance and Accounting,Banking and Finance:,Financial Services Representative,11,9,7,7,ESFJ,"Customer service, basic financial product knowledge, sales support, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Insurance Manager,11,9,7,12,ESTJ,"Insurance product knowledge, risk assessment, claims management, regulatory compliance, customer service, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Insurance Sales Representative,11,9,7,4,ESFP,"Sales Strategy, Market Research, Communication, Regulatory Knowledge"
Finance and Accounting,Banking and Finance:,Insurance Underwriter,11,9,7,4,ISTJ,"Risk Assessment, Underwriting, Financial Analysis, Compliance"
Finance and Accounting,Banking and Finance:,Internal Auditor,11,9,7,7,ESTP,"Financial Knowledge, Familiarity with auditing methodologies, standards (such as COSO framework), and internal control concepts to conduct comprehensive audits and Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Internal Auditor,11,9,7,7,ESTP,"Auditing, analytical skills, attention to detail, risk management, communication"
Finance and Accounting,Banking and Finance:,Investment Analyst,11,9,7,8,ENTJ,"Analytical prowess, financial modeling skills, industry research capabilities, and understanding of capital markets to assess investment opportunities and provide strategic recommendations."
Finance and Accounting,Banking and Finance:,Investment Analyst,11,9,7,8,ENTJ,"Analytical prowess, financial modeling skills, industry research capabilities, and understanding of capital markets to assess investment opportunities and provide strategic recommendations. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Finance and Accounting,Banking and Finance:,Investment Analyst,11,9,7,8,ENTJ,"Analytical skills, financial modeling, research, valuation, communication"
Finance and Accounting,Banking and Finance:,Investment Banker,11,9,7,9,ENTJ,"Financial modeling, valuation techniques, market analysis, negotiation skills, attention to detail"
Finance and Accounting,Banking and Finance:,Investment Banker,11,9,7,9,ENTJ,"Financial modeling, valuation techniques, mergers and acquisitions (M&A), capital markets knowledge, strong quantitative skills. Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Investment Banker,11,9,7,9,ENTJ,"Financial analysis, valuation techniques, deal structuring, negotiation skills, and understanding of capital markets and investment banking operations. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Finance and Accounting,Banking and Finance:,Investment Banker,11,9,7,9,ENTJ,"Financial modeling, valuation, analytical skills, communication, negotiation"
Finance and Accounting,Banking and Finance:,Investment Banking Analyst,11,9,7,8,ESTJ,"Financial Modeling, Valuation, Market Research, Reporting"
Finance and Accounting,Banking and Finance:,Loan Officer,11,9,7,8,ISTJ,"Loan Processing, Credit Analysis, Customer Service, Regulatory Compliance"
Finance and Accounting,Banking and Finance:,Portfolio Manager,11,9,7,12,ISTJ,"Asset allocation, investment strategy development, portfolio optimization, risk assessment, knowledge of financial markets, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Risk Manager,11,9,7,12,ENTJ,"Risk assessment, analytical skills, problem-solving, knowledge of regulations, communication"
Finance and Accounting,Banking and Finance:,Sales Support Analyst (in finance-related products),11,9,7,7,ISTJ,"Sales support, customer relationship management, basic financial product knowledge. Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Treasury Analyst,11,9,7,8,ISTJ,"Cash Management, Financial Planning, Investment Strategies, Risk Management"
Finance and Accounting,Banking and Finance:,Treasury Manager,11,9,7,12,ENTJ,"Cash flow management, liquidity management, foreign exchange risk hedging, relationship management with banks, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Banking and Finance:,Wealth Management Associate,11,9,7,8,ENFJ,"Investment Strategies, Client Relationship Management, Financial Planning"
Marketing,Marketing Strategy:,Advertising Coordinator,11,9,9,7,ENFP,"Advertising, Campaign Management, Media Planning, Communication"
Marketing,Marketing Strategy:,Advertising Manager,11,9,9,12,ENTJ,"Creative Thinking, Media Planning, Budget Management, Campaign Analysis, Work closely with creative teams, media agencies, and other stakeholders to execute successful advertising campaigns. Analytical Skills, Communication Skills, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Assistant Marketing Coordinator,11,9,9,7,ENFP,"Marketing support, data entry, event coordination, basic market research"
Marketing,Marketing Strategy:,Brand Coordinator,11,9,9,11,ENFP,"Brand Management, Market Research, Communication, Digital Marketing"
Marketing,Marketing Strategy:,Brand Manager,11,9,9,12,ENTJ,"Strategic thinking, market research, brand development, product positioning, and strong analytical skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Insights Analyst,11,9,9,7,INTP,"Analytical Skills: Ability to analyze large datasets to derive meaningful insights and trends. 
Statistical Analysis: Proficiency in statistical methods and tools for data analysis. 
Data Visualization: Skill in presenting complex data in a clear and understandable manner using tools like Tableau, Power BI, or Python libraries like Matplotlib and Seaborn. 
Problem-solving: Capacity to identify business problems and develop data-driven solutions. 
Communication: Effective communication skills to convey insights and recommendations to stakeholders. 
Domain Knowledge: Understanding of the industry or domain to provide relevant insights and recommendations."
Marketing,Marketing Strategy:,Market Analyst,11,9,9,7,ENTP,"Monitor market trends, analyze industry reports, and prepare market intelligence reports to support marketing and business development strategies. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Market Analyst,11,9,9,7,ENTP,"Market Research, Data Analysis, Reporting, Financial Analysis"
Marketing,Marketing Strategy:,Marketing Analyst,11,9,9,7,INTJ,"Marketing Analytics, Data Analysis, Reporting, Digital Marketing"
Marketing,Marketing Strategy:,Market Intelligence Associate,11,9,9,7,INFJ,"Monitor industry trends, competitor activities, and customer preferences to provide insights for strategic decision-making."
Marketing,Marketing Strategy:,Market Intelligence Associate,11,9,9,7,INFJ,"Monitor industry trends, competitor activities, and customer preferences to provide insights for strategic decision-making. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Marketing,Marketing Strategy:,Marketing Consultant,11,9,9,8,ENFJ,"Analytical Skills, Problem-Solving, Industry Knowledge, Client Management, Coordinate with cross-functional teams and manage multiple projects simultaneously, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Marketing Coordinator,11,9,9,7,ESFJ,"Support in marketing campaigns, coordination with various teams, and basic understanding of marketing principles. Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Marketing Coordinator,11,9,9,7,ESFJ,"Marketing Strategy, Digital Marketing, Social Media, Content Creation"
Marketing,Marketing Strategy:,Marketing Coordinator,11,9,9,7,ESFJ,"Marketing Strategy, Communication, Digital Marketing, Analytics"
Marketing,Marketing Strategy:,Marketing Coordinator,11,9,9,7,ESFJ,"Marketing Strategy, Digital Marketing, Customer Insights, Communication"
Marketing,Marketing Strategy:,Marketing Coordinator,11,9,9,7,ESFJ,"Marketing Strategy, Digital Marketing, Content Creation, Communication"
Marketing,Marketing Strategy:,Marketing Manager,11,9,9,12,ENTJ,"Marketing strategy development, market research, branding, digital marketing skills, analytical skills, communication skills"
Marketing,Marketing Strategy:,Marketing Manager,11,9,9,12,ENTJ,"Comprehensive understanding of marketing principles, campaign management, consumer behavior analysis, and leadership skills, Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Survey design, qualitative and quantitative analysis, market segmentation, report writing, communication."
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Data collection, analysis, and interpretation, research methodology, report writing, and presentation skills, Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Market research methodologies, data collection, analysis, and interpretation to provide insights into market trends, consumer behavior, and competitive landscapes. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Conduct market research, gather competitive intelligence, and analyze data to inform strategic initiatives and market positioning. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Research skills, data analysis, communication, statistical knowledge, market knowledge"
Marketing,Marketing Strategy:,Market Research Analyst,11,9,9,7,ENFP,"Market Research, Data Analysis, Reporting, Communication"
Marketing,Marketing Strategy:,Market Research Assistant,11,9,9,3,ISFP,"Research skills, data entry, communication, analytical skills, attention to detail"
Marketing,Marketing Strategy:,Product Development Assistant,11,9,9,3,ISFP,"Product Design, Market Research, Prototyping, Communication"
Marketing,Marketing Strategy:,Product Development Assistant,11,9,9,3,ISFP,"Product Development, Market Research, Communication, Project Management"
Marketing,Marketing Strategy:,Product Development Assistant,11,9,9,3,ISFP,"Product Development, Market Research, Prototyping, Communication"
Marketing,Marketing Strategy:,Product Manager,11,9,9,11,ESTJ,"Product development, market analysis, project management, data analysis, communication skills, innovation"
Marketing,Marketing Strategy:,Product Manager,11,9,9,11,ESTJ,"Product lifecycle management, market segmentation, product development, and project management. Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Marketing Strategy:,Product Manager,11,9,9,11,ESTJ,"Product lifecycle management, market research, communication, strategic planning, technical understanding"
Marketing,Digital Marketing:,Digital Analyst,7,7,11,7,ISTJ,"Data Analysis, Reporting, Digital Marketing, SEO"
Marketing,Digital Marketing:,Digital Marketing Analyst,7,7,11,7,ENFP,"Web analytics, SEO/SEM analysis, campaign tracking, social media analytics, digital marketing knowledge."
Marketing,Digital Marketing:,Digital Marketing Manager,7,7,11,10,ENTJ,"Proficiency in digital marketing tools and platforms, data analytics, SEO/SEM, social media marketing, and content strategy, Analytical Skills, Communication Skills, 
Creativity, Strategic Thinking, Adaptability and Teamwork"
Marketing,Digital Marketing:,Digital Transformation Analyst,7,7,11,7,INTJ,"Digital Strategy, Project Management, Research, Data Analysis"
Marketing,Digital Marketing:,E-commerce Coordinator,7,7,11,3,ESFJ,"E-commerce Platforms, Digital Marketing, Customer Service, Data Analysis"
Marketing,Digital Marketing:,E-commerce Manager,7,7,11,11,ENTJ,"E-commerce platforms, digital marketing, SEO, data analysis, project management"
Marketing,Digital Marketing:,E-commerce Specialist,7,7,11,10,ISTP,"E-commerce Platforms, Digital Marketing, Customer Service, Analytics"
Marketing,Digital Marketing:,Email Marketing Specialist,7,7,11,10,ENFP,"Email Marketing, CRM, Data Analysis, Copywriting"
Marketing,Digital Marketing:,SEO Specialist,7,7,11,11,INTP,"SEO, Keyword Research, Content Optimization, Analytics"
Marketing,Digital Marketing:,SEO/SEM Specialist,7,7,11,12,ENTP,"Understanding of search engine algorithms, keyword research, on-page optimization, and website structure.
Proficiency in managing pay-per-click advertising campaigns, budget optimization, and bid management.
Knowledge of content optimization strategies for search engines, including meta tags, headings, and schema markup and Continuous Learning."
Marketing,Digital Marketing:,Social Media Coordinator,7,7,11,6,ESFP,"Content creation, community management, and basic understanding of social media platforms, Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Marketing,Digital Marketing:,Social Media Coordinator,7,7,11,6,ESFP,"Social Media Management, Content Creation, Analytics, Communication"
Marketing,Digital Marketing:,Social Media Coordinator,7,7,11,6,ESFP,"Social Media Strategy, Content Creation, Analytics, Communication"
Marketing,Advertising:,Content Coordinator,9,6,11,6,ENFP,"Content Strategy, Content Creation, SEO, Communication"
Marketing,Advertising:,Content Marketing Specialist,9,6,11,10,ENFP,"Develop content marketing strategies aligned with business goals, target audience preferences, and brand identity.
Produce high-quality content across various formats (articles, blogs, videos, infographics, etc.) that resonates with the target audience.
Optimize content for search engines, incorporate relevant keywords, and follow best practices for higher visibility and organic traffic.
Implement content distribution strategies through social media, email marketing, influencer partnerships, and other channels to maximize reach and engagement.
"
Marketing,Advertising:,Content Writer,9,6,11,3,INFP,"Writing, SEO, Content Strategy, Research"
Marketing,Advertising:,Event Coordinator,9,6,11,7,ESFJ,"Event Planning, Project Management, Communication, Budget Management"
Marketing,Advertising:,Graphic Designer,9,6,11,6,ISFP,"Graphic Design, Adobe Creative Suite, Creativity, Communication"
Marketing,Advertising:,Media Buyer,9,6,11,4,ESTP,"Media Planning, Negotiation, Market Research, Budget Management"
Marketing,Advertising:,Media Planner,9,6,11,4,ENFP,"Media Strategy, Market Research, Budget Management, Communication"
Marketing,Advertising:,Merchandising Assistant,9,6,11,3,ESFP,"Merchandising, Market Research, Inventory Management, Communication"
Marketing,Advertising:,PR Assistant,9,6,11,3,ESFP,"Public Relations, Communication, Media Relations, Writing"
Marketing,Advertising:,Public Relations Assistant,9,6,11,3,ESFP,"Public Relations, Media Relations, Communication, Writing"
Marketing,Advertising:,Public Relations Manager,9,6,11,12,ENFJ,"Strong Communication Skills, Establish and maintain relationships with journalists, bloggers, influencers, and other key stakeholders, Ability to handle and mitigate crises effectively, maintain the organization's reputation, and communicate transparently with the public, Strategic Thinking, Networking"
Marketing,Advertising:,Public Relations Specialist,9,6,11,8,ENFP,"Media relations, communication skills, writing, crisis management, social media management"
Marketing,Advertising:,Retail Analyst,9,6,11,7,ISTP,"Retail Analytics, Data Analysis, Reporting, Market Research"
Marketing,Advertising:,Sales Promotion Coordinator,9,6,11,7,ESFP,"Sales Promotion, Event Planning, Communication, Customer Engagement"
Marketing,Advertising:,Sales Support,9,6,11,3,ISFJ,"Sales support, communication, customer service, organizational skills, problem-solving"
Marketing,Advertising:,Visual Merchandiser,9,6,11,7,ESFP,"Visual Merchandising, Design, Market Research, Creativity"
Marketing,Customer Relationship Management (CRM):,Customer Service Associate,7,7,11,3,ESFJ,"Customer Service, CRM, Communication, Problem Solving"
Marketing,Sales Management:,Sales Manager,7,7,11,12,ENTJ,"Sales strategy, customer relationship management, negotiation, market analysis, communication"
Marketing,Sales Management:,Sales Manager,7,7,11,12,ENTJ,"Sales planning, customer relationship management, negotiation skills, and ability to meet sales targets. Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Human Resources (HR),Recruitment and Talent Acquisition:,Recruiter,11,4,11,7,ESFJ,"Assistance in candidate sourcing, resume screening, interview coordination, and applicant tracking system (ATS) management. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),Recruitment and Talent Acquisition:,Recruitment Specialist,11,4,11,7,ENFJ,"End-to-end recruitment process management, candidate assessment, sourcing strategies, and vendor management. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),Recruitment and Talent Acquisition:,Talent Acquisition Coordinator,11,4,11,7,ESFJ,"Recruitment, Talent Management, Communication, Negotiation"
Human Resources (HR),Recruitment and Talent Acquisition:,Talent Acquisition Manager,11,4,11,12,ENTJ,"Recruitment strategy development, candidate sourcing, interviewing techniques, and employer branding to attract and retain top talent. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),Recruitment and Talent Acquisition:,Talent Acquisition Specialist,11,4,11,11,ENFJ,"Recruitment strategy development, employer branding, candidate sourcing, interviewing techniques, and negotiation skills. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,Compensation Analyst,11,7,11,3,ISTJ,"Data analysis for compensation reviews, market benchmarking, salary survey participation, and reporting. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,Compensation and Benefits Manager,11,7,11,11,ESTJ,"Design and implementation of compensation structures, benefits administration, job evaluation, and salary benchmarking. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,Diversity and Inclusion Coordinator,11,7,11,12,ENFJ,"Develop diversity and inclusion strategies, implement initiatives to foster an inclusive workplace culture, and ensure compliance with diversity policies. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,Employee Engagement Coordinator,11,7,11,8,ESFJ,"Assist in organizing employee engagement events, surveys, and activities to promote a positive work culture. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,Employee Engagement Manager,11,7,11,12,ENFJ,"Design and implementation of employee engagement initiatives, culture-building programs, and recognition strategies to foster a positive work environment. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,Employee Relations Officer,11,7,11,4,ISFJ,"Manage employee grievances, resolve conflicts, and promote positive labor relations within the organization. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,HR Analyst,11,7,11,7,INTJ,"Data-driven HR decision-making, predictive analytics, HR metrics development, and proficiency in HRIS/HRMS systems. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,HR Business Partner,11,7,11,12,ENFJ,"Strategic HR planning, workforce analytics, talent management, organizational development, and change management. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,HR Business Partner,11,7,11,12,ENFJ,"Collaborate with business leaders to align HR strategies with business objectives, provide HR support, and address workforce-related challenges, Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,HR Consultant,11,7,11,10,INFJ,"Analytical Skills, Strong consulting skills to build rapport with clients, understand their business challenges, and provide expert HR advice and recommendations.
Strategic Thinking, Understanding of industry trends, best practices, and benchmarks to provide relevant and effective HR consulting services.
Presentation Skills, Negotiation Skills, Problem-Solving, Continuous Learning"
Human Resources (HR),HR Management:,HR Coordinator/Assistant,11,7,11,3,ISFJ,"Support HR functions such as recruitment coordination, onboarding, HRIS management, and employee record maintenance. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
